p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.764809, 236, 19039, 201, 626.25, 1168, 0.233133732535, 4725, 277, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 2.308012, 384, 19032, 346, 1670.0, 2585, 0.515968063872, 4791, 216, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.980321, 311, 19040, 255, 1002.0, 1923, 0.383832335329, 4773, 232, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.686782, 185, 19009, 175, 334.0, 860, 0.171656686627, 4776, 219, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.778063, 220, 19070, 201, 626.25, 1357, 0.270858283433, 4801, 201, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.737628, 234, 18994, 192, 835.0, 1383, 0.276047904192, 4800, 204, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.731036, 228, 18982, 197, 626.25, 932, 0.186027944112, 4765, 237, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 2.383939, 393, 19079, 368, 1670.0, 2684, 0.535728542914, 4805, 202, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.765857, 250, 18983, 213, 1002.0, 1587, 0.316766467066, 4784, 221, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.889719, 299, 19025, 239, 1252.5, 2042, 0.407584830339, 4747, 259, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.639724, 201, 19011, 169, 385.384615385, 703, 0.140319361277, 4743, 254, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.8311, 277, 19010, 220, 556.666666667, 1259, 0.25129740519, 4731, 270, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.698378, 212, 19026, 181, 501.0, 1068, 0.213173652695, 4784, 216, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 2.017762, 297, 19012, 266, 1252.5, 2230, 0.445109780439, 4819, 187, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 2.155933, 330, 19048, 308, 1670.0, 2314, 0.461876247505, 4733, 274, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 2.018555, 293, 19044, 277, 1002.0, 1908, 0.380838323353, 4745, 260, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.700954, 208, 19021, 186, 501.0, 875, 0.174650698603, 4787, 213, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.913079, 272, 19002, 232, 556.666666667, 1142, 0.227944111776, 4747, 254, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.87436, 252, 19073, 222, 835.0, 1439, 0.287225548902, 4745, 259, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.863105, 273, 19022, 216, 715.714285714, 1491, 0.297604790419, 4805, 198, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.776111, 239, 19052, 206, 626.25, 1297, 0.258882235529, 4733, 269, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.880938, 262, 18993, 218, 715.714285714, 1169, 0.233333333333, 4781, 222, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.653298, 205, 19047, 179, 835.0, 1199, 0.239321357285, 4754, 250, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 2.041656, 289, 18999, 272, 835.0, 1587, 0.316766467066, 4805, 199, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 1.711784, 212, 19086, 172, 556.666666667, 785, 0.156686626747, 4729, 272, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 2.152745, 327, 19009, 299, 626.25, 1424, 0.284231536926, 4761, 241, 0.0
