pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 209.690715, 202, 18963, 134, 1250.0, 2317, 0.4634, 2587, 2409, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 212.078643, 140, 18975, 128, 555.555555556, 2136, 0.4272, 2596, 2395, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 215.538546, 182, 18979, 131, 833.333333333, 1880, 0.376, 2611, 2383, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 211.765519, 147, 18971, 132, 625.0, 1437, 0.2874, 2588, 2404, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 219.160929, 147, 19040, 135, 625.0, 1951, 0.3902, 2592, 2400, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 220.729723, 156, 19020, 132, 833.333333333, 1729, 0.3458, 2562, 2432, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 213.322586, 212, 18943, 138, 833.333333333, 2691, 0.5382, 2531, 2463, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 213.213073, 172, 18989, 133, 1666.66666667, 3735, 0.747, 2608, 2389, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 213.131071, 187, 18976, 142, 833.333333333, 1683, 0.3366, 2681, 2313, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 213.262847, 162, 18989, 135, 833.333333333, 1495, 0.299, 2672, 2322, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 215.785372, 175, 19020, 140, 1000.0, 1401, 0.2802, 2773, 2222, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 215.304802, 144, 19010, 134, 1250.0, 1859, 0.3718, 2588, 2408, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 211.936995, 200, 18974, 141, 1000.0, 3133, 0.6266, 2569, 2426, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 212.10024, 215, 18983, 141, 2500.0, 4397, 0.8794, 2642, 2356, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 208.833367, 160, 18943, 129, 1250.0, 3038, 0.6076, 2663, 2333, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 212.373934, 177, 19000, 137, 1250.0, 2753, 0.5506, 2656, 2340, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 209.475788, 168, 18915, 140, 833.333333333, 2630, 0.526, 2533, 2461, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 213.031712, 206, 18956, 142, 714.285714286, 2132, 0.4264, 2614, 2379, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 213.109556, 161, 18983, 145, 2500.0, 4999, 0.9998, 2751, 2247, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 217.717354, 149, 19009, 130, 1666.66666667, 4262, 0.8524, 2728, 2269, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 216.064287, 153, 19001, 129, 714.285714286, 1871, 0.3742, 2588, 2405, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 213.647574, 196, 19015, 133, 1666.66666667, 2249, 0.4498, 2584, 2413, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 212.692518, 172, 18960, 137, 625.0, 2147, 0.4294, 2554, 2438, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 205.635424, 150, 18968, 125, 555.555555556, 1890, 0.378, 2571, 2420, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 210.205864, 187, 18959, 140, 714.285714286, 1391, 0.2782, 2491, 2502, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 214.142337, 165, 18974, 135, 555.555555556, 1679, 0.3358, 2483, 2508, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 215.948909, 170, 18986, 133, 714.285714286, 2220, 0.444, 2458, 2535, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 216.246019, 169, 19007, 131, 454.545454545, 1463, 0.2926, 2697, 2292, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 211.269273, 168, 18997, 129, 500.0, 1724, 0.3448, 2628, 2362, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 212.838129, 176, 19017, 139, 1250.0, 3162, 0.6324, 2654, 2342, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 212.63394, 149, 18962, 135, 1000.0, 2405, 0.481, 2548, 2447, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 208.827964, 158, 18961, 135, 714.285714286, 2686, 0.5372, 2591, 2402, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 212.364976, 222, 18968, 130, 833.333333333, 3238, 0.6476, 2580, 2414, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 212.989276, 174, 18973, 129, 555.555555556, 2090, 0.418, 2604, 2387, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 206.802629, 164, 18989, 138, 500.0, 1517, 0.3034, 2631, 2359, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 203.590117, 175, 18966, 135, 833.333333333, 3035, 0.607, 2573, 2421, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 204.763492, 145, 18961, 129, 833.333333333, 2433, 0.4866, 2564, 2430, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 211.752316, 166, 19048, 135, 714.285714286, 1439, 0.2878, 2687, 2306, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 205.747445, 160, 18962, 129, 833.333333333, 2225, 0.445, 2635, 2359, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 209.213246, 163, 18929, 142, 555.555555556, 1554, 0.3108, 2606, 2385, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 205.418271, 206, 18992, 144, 1000.0, 2953, 0.5906, 2625, 2370, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 202.770464, 144, 18969, 136, 1250.0, 1592, 0.3184, 2422, 2574, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 205.951321, 181, 18984, 141, 1250.0, 2419, 0.4838, 2593, 2403, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 208.459949, 175, 18997, 132, 454.545454545, 2557, 0.5114, 2627, 2362, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 209.249288, 155, 19016, 132, 1250.0, 3140, 0.628, 2521, 2475, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 207.96413, 201, 19008, 142, 500.0, 2188, 0.4376, 2464, 2526, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 203.668325, 172, 18943, 141, 625.0, 1435, 0.287, 2620, 2372, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 203.961572, 166, 18961, 132, 714.285714286, 2483, 0.4966, 2511, 2482, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 208.64153, 147, 19038, 139, 1666.66666667, 2934, 0.5868, 2608, 2389, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 204.667235, 213, 18978, 140, 833.333333333, 1712, 0.3424, 2590, 2404, 0.35
